# z rho/M
-90.1406 0
-89.6406 0
-89.1406 0
-88.6406 0
-88.1406 0
-87.6406 0
-87.1406 0
-86.6406 0
-86.1406 0
-85.6406 0
-85.1406 0
-84.6406 0
-84.1406 0
-83.6406 0
-83.1406 0
-82.6406 0
-82.1406 0
-81.6406 0
-81.1406 0
-80.6406 0
-80.1406 0
-79.6406 0
-79.1406 0
-78.6406 0
-78.1406 0
-77.6406 0
-77.1406 0
-76.6406 0
-76.1406 0
-75.6406 0
-75.1406 0
-74.6406 0
-74.1406 0
-73.6406 0
-73.1406 0
-72.6406 0
-72.1406 0
-71.6406 0
-71.1406 0
-70.6406 0
-70.1406 0
-69.6406 0
-69.1406 0
-68.6406 0
-68.1406 0
-67.6406 0
-67.1406 0
-66.6406 0
-66.1406 0
-65.6406 0
-65.1406 0
-64.6406 0
-64.1406 0
-63.6406 0
-63.1406 0
-62.6406 0
-62.1406 0
-61.6406 0
-61.1406 0
-60.6406 0
-60.1406 0
-59.6406 0
-59.1406 0
-58.6406 0
-58.1406 0
-57.6406 0
-57.1406 0
-56.6406 0
-56.1406 0
-55.6406 0
-55.1406 0
-54.6406 0
-54.1406 0
-53.6406 0
-53.1406 0
-52.6406 0
-52.1406 0
-51.6406 0
-51.1406 0
-50.6406 0
-50.1406 0
-49.6406 0
-49.1406 0
-48.6406 0
-48.1406 0
-47.6406 0
-47.1406 0
-46.6406 0
-46.1406 0
-45.6406 0
-45.1406 0
-44.6406 0
-44.1406 0
-43.6406 0
-43.1406 0
-42.6406 0
-42.1406 0
-41.6406 0
-41.1406 0
-40.6406 0
-40.1406 0
-39.6406 0
-39.1406 0
-38.6406 0
-38.1406 0
-37.6406 0
-37.1406 0
-36.6406 0
-36.1406 0
-35.6406 0
-35.1406 0
-34.6406 0
-34.1406 0
-33.6406 0
-33.1406 0
-32.6406 0
-32.1406 0
-31.6406 0
-31.1406 0
-30.6406 0
-30.1406 0
-29.6406 0.000283841
-29.1406 0.000851524
-28.6406 0.000567683
-28.1406 0.00368994
-27.6406 0.00567683
-27.1406 0.00624451
-26.6406 0.012489
-26.1406 0.0246942
-25.6406 0.0391701
-25.1406 0.0712442
-24.6406 0.105021
-24.1406 0.158384
-23.6406 0.244955
-23.1406 0.373535
-22.6406 0.536176
-22.1406 0.720957
-21.6406 0.947747
-21.1406 1.21654
-20.6406 1.5441
-20.1406 1.88045
-19.6406 2.12909
-19.1406 2.43479
-18.6406 2.65931
-18.1406 2.86141
-17.6406 2.83217
-17.1406 2.89007
-16.6406 2.75667
-16.1406 2.54492
-15.6406 2.36866
-15.1406 2.08822
-14.6406 1.79274
-14.1406 1.55744
-13.6406 1.24692
-13.1406 1.01729
-12.6406 0.81945
-12.1406 0.642901
-11.6406 0.500129
-11.1406 0.370413
-10.6406 0.300588
-10.1406 0.220261
-9.64056 0.176549
-9.14056 0.14334
-8.64056 0.116375
-8.14056 0.0956546
-7.64056 0.0692573
-7.14056 0.0570521
-6.64056 0.0374671
-6.14056 0.0289518
-5.64056 0.0221396
-5.14056 0.0150436
-4.64056 0.00879908
-4.14056 0.00681219
-3.64056 0.00425762
-3.14056 0.00141921
-2.64056 0.00113537
-2.14056 0.00141921
-1.64056 0.00113537
-1.14056 0.00113537
-0.640559 0.00227073
-0.140559 0.00227073
0.359441 0.00198689
0.859441 0.00141921
1.35944 0.0034061
1.85944 0.00198689
2.35944 0.00312226
2.85944 0.00425762
3.35944 0.0082314
3.85944 0.0105021
4.35944 0.0141921
4.85944 0.0184497
5.35944 0.024978
5.85944 0.0320741
6.35944 0.0408732
6.85944 0.0491046
7.35944 0.0740826
7.85944 0.0888424
8.35944 0.109847
8.85944 0.140502
9.35944 0.177117
9.85944 0.227925
10.3594 0.287815
10.8594 0.373535
11.3594 0.484801
11.8594 0.60515
12.3594 0.789079
12.8594 1.0082
13.3594 1.18475
13.8594 1.51969
14.3594 1.76833
14.8594 2.01641
15.3594 2.36383
15.8594 2.62553
16.3594 2.84352
16.8594 2.78761
17.3594 2.86822
17.8594 2.76121
18.3594 2.63717
18.8594 2.41436
19.3594 2.14187
19.8594 1.91366
20.3594 1.53132
20.8594 1.21995
21.3594 0.947179
21.8594 0.712158
22.3594 0.520849
22.8594 0.365304
23.3594 0.256309
23.8594 0.165196
24.3594 0.108144
24.8594 0.0669866
25.3594 0.0476854
25.8594 0.0241265
26.3594 0.0167466
26.8594 0.00936677
27.3594 0.00596067
27.8594 0.00425762
28.3594 0.00113537
28.8594 0.000851524
29.3594 0.00113537
29.8594 0.000567683
30.3594 0.000567683
30.8594 0.000283841
31.3594 0
31.8594 0
32.3594 0
32.8594 0
33.3594 0
33.8594 0
34.3594 0
34.8594 0
35.3594 0
35.8594 0
36.3594 0
36.8594 0
37.3594 0
37.8594 0
38.3594 0
38.8594 0
39.3594 0
39.8594 0
40.3594 0
40.8594 0
41.3594 0
41.8594 0
42.3594 0
42.8594 0
43.3594 0
43.8594 0
44.3594 0
44.8594 0
45.3594 0
45.8594 0
46.3594 0
46.8594 0
47.3594 0
47.8594 0
48.3594 0
48.8594 0
49.3594 0
49.8594 0
50.3594 0
50.8594 0
51.3594 0
51.8594 0
52.3594 0
52.8594 0
53.3594 0
53.8594 0
54.3594 0
