# z rho/M
-87.873 0.000553402
-87.373 0.000553402
-86.873 0.0011068
-86.373 0.00221361
-85.873 0.000830103
-85.373 0.00138351
-84.873 0.0011068
-84.373 0.00138351
-83.873 0.00138351
-83.373 0.0011068
-82.873 0.00166021
-82.373 0.00138351
-81.873 0.000830103
-81.373 0.000276701
-80.873 0.000830103
-80.373 0.0011068
-79.873 0.000830103
-79.373 0.000553402
-78.873 0.0011068
-78.373 0.00166021
-77.873 0.00138351
-77.373 0.000553402
-76.873 0.000276701
-76.373 0
-75.873 0.000830103
-75.373 0.000553402
-74.873 0.000553402
-74.373 0.000553402
-73.873 0.000276701
-73.373 0
-72.873 0
-72.373 0
-71.873 0.000553402
-71.373 0.000276701
-70.873 0.000553402
-70.373 0.000276701
-69.873 0.0011068
-69.373 0.000830103
-68.873 0.0011068
-68.373 0.0011068
-67.873 0.000553402
-67.373 0
-66.873 0
-66.373 0.0011068
-65.873 0.000830103
-65.373 0.000830103
-64.873 0.00138351
-64.373 0.000276701
-63.873 0.000830103
-63.373 0.000276701
-62.873 0.000276701
-62.373 0
-61.873 0.000276701
-61.373 0.000553402
-60.873 0.000553402
-60.373 0.000276701
-59.873 0.000553402
-59.373 0.000553402
-58.873 0.000553402
-58.373 0
-57.873 0
-57.373 0.00138351
-56.873 0
-56.373 0
-55.873 0
-55.373 0
-54.873 0.000276701
-54.373 0.000276701
-53.873 0.000276701
-53.373 0.000553402
-52.873 0.000553402
-52.373 0.0011068
-51.873 0.000830103
-51.373 0.000553402
-50.873 0.00138351
-50.373 0.000553402
-49.873 0
-49.373 0.0011068
-48.873 0.000276701
-48.373 0.000553402
-47.873 0.000553402
-47.373 0.000830103
-46.873 0.000276701
-46.373 0.000553402
-45.873 0
-45.373 0.000276701
-44.873 0.000276701
-44.373 0.000553402
-43.873 0
-43.373 0.000553402
-42.873 0.000276701
-42.373 0.000553402
-41.873 0
-41.373 0
-40.873 0.000276701
-40.373 0.000553402
-39.873 0.000553402
-39.373 0.000276701
-38.873 0
-38.373 0
-37.873 0
-37.373 0.000830103
-36.873 0.000553402
-36.373 0.000553402
-35.873 0.000276701
-35.373 0
-34.873 0.000553402
-34.373 0.000830103
-33.873 0.0011068
-33.373 0
-32.873 0.000276701
-32.373 0
-31.873 0
-31.373 0.000276701
-30.873 0
-30.373 0.000553402
-29.873 0.000830103
-29.373 0.000276701
-28.873 0.000276701
-28.373 0.000830103
-27.873 0.0011068
-27.373 0.00166021
-26.873 0.000830103
-26.373 0.000553402
-25.873 0
-25.373 0.000553402
-24.873 0.0011068
-24.373 0.0011068
-23.873 0.00249031
-23.373 0.00193691
-22.873 0.00470392
-22.373 0.00387382
-21.873 0.00691753
-21.373 0.00525732
-20.873 0.00719423
-20.373 0.0113447
-19.873 0.0177089
-19.373 0.0271167
-18.873 0.0417819
-18.373 0.0622578
-17.873 0.0868842
-17.373 0.13171
-16.873 0.209739
-16.373 0.289983
-15.873 0.394022
-15.373 0.518261
-14.873 0.688156
-14.373 0.917818
-13.873 1.16962
-13.373 1.41145
-12.873 1.65412
-12.373 2.03486
-11.873 2.28943
-11.373 2.4845
-10.873 2.72412
-10.373 2.86524
-9.87299 2.99474
-9.37299 3.01743
-8.87299 2.99612
-8.37299 2.96485
-7.87299 2.92169
-7.37299 2.89651
-6.87299 2.91366
-6.37299 2.92971
-5.87299 3.01189
-5.37299 3.08909
-4.87299 3.15163
-4.37299 3.3799
-3.87299 3.34089
-3.37299 3.39734
-2.87299 3.3752
-2.37299 3.29883
-1.87299 3.18649
-1.37299 3.01494
-0.872986 2.92805
-0.372986 2.84864
0.127014 2.73132
0.627014 2.75899
1.12701 2.81101
1.62701 2.94659
2.12701 3.04344
2.62701 3.24321
3.12701 3.32622
3.62701 3.35998
4.12701 3.38129
4.62701 3.38572
5.12701 3.24709
5.62701 3.10791
6.12701 3.02628
6.62701 2.86164
7.12701 2.84587
7.62701 2.88599
8.12701 2.8539
8.62701 2.88793
9.12701 2.91837
9.62701 3.01411
10.127 2.93137
10.627 2.93774
11.127 2.77587
