# z rho/M
-105.138 0
-104.638 0
-104.138 0
-103.638 0
-103.138 0
-102.638 0
-102.138 0
-101.638 0
-101.138 0
-100.638 0
-100.138 0
-99.6376 0
-99.1376 0
-98.6376 0
-98.1376 0
-97.6376 0
-97.1376 0
-96.6376 0
-96.1376 0
-95.6376 0
-95.1376 0
-94.6376 0
-94.1376 0
-93.6376 0
-93.1376 0
-92.6376 0
-92.1376 0
-91.6376 0
-91.1376 0
-90.6376 0
-90.1376 0
-89.6376 0
-89.1376 0
-88.6376 0
-88.1376 0
-87.6376 0
-87.1376 0
-86.6376 0
-86.1376 0
-85.6376 0
-85.1376 0
-84.6376 0
-84.1376 0
-83.6376 0
-83.1376 0
-82.6376 0
-82.1376 0
-81.6376 0
-81.1376 0
-80.6376 0
-80.1376 0
-79.6376 0
-79.1376 0
-78.6376 0
-78.1376 0
-77.6376 0
-77.1376 0
-76.6376 0
-76.1376 0
-75.6376 0
-75.1376 0
-74.6376 0
-74.1376 0
-73.6376 0
-73.1376 0
-72.6376 0
-72.1376 0
-71.6376 0
-71.1376 0
-70.6376 0
-70.1376 0
-69.6376 0
-69.1376 0
-68.6376 0
-68.1376 0
-67.6376 0
-67.1376 0
-66.6376 0
-66.1376 0
-65.6376 0
-65.1376 0
-64.6376 0
-64.1376 0
-63.6376 0
-63.1376 0
-62.6376 0
-62.1376 0
-61.6376 0
-61.1376 0
-60.6376 0
-60.1376 0
-59.6376 0
-59.1376 0
-58.6376 0
-58.1376 0
-57.6376 0
-57.1376 0
-56.6376 0
-56.1376 0
-55.6376 0
-55.1376 0
-54.6376 0
-54.1376 0
-53.6376 0
-53.1376 0
-52.6376 0
-52.1376 0
-51.6376 0
-51.1376 0
-50.6376 0
-50.1376 0
-49.6376 0
-49.1376 0
-48.6376 0
-48.1376 0
-47.6376 0
-47.1376 0
-46.6376 0
-46.1376 0
-45.6376 0
-45.1376 0
-44.6376 0
-44.1376 0
-43.6376 0
-43.1376 0
-42.6376 0
-42.1376 0
-41.6376 0
-41.1376 0
-40.6376 0
-40.1376 0
-39.6376 0
-39.1376 0
-38.6376 0
-38.1376 0
-37.6376 0
-37.1376 0
-36.6376 0
-36.1376 0
-35.6376 0
-35.1376 0
-34.6376 0
-34.1376 0
-33.6376 0
-33.1376 0
-32.6376 0
-32.1376 0
-31.6376 0
-31.1376 0
-30.6376 0
-30.1376 0
-29.6376 0
-29.1376 8.27663e-05
-28.6376 8.27663e-05
-28.1376 0.000744897
-27.6376 0.000993195
-27.1376 0.00256576
-26.6376 0.00471768
-26.1376 0.0105113
-25.6376 0.0225124
-25.1376 0.0530532
-24.6376 0.107762
-24.1376 0.210475
-23.6376 0.39016
-23.1376 0.645494
-22.6376 1.0071
-22.1376 1.43227
-21.6376 1.93127
-21.1376 2.43051
-20.6376 2.85718
-20.1376 3.23418
-19.6376 3.46501
-19.1376 3.6423
-18.6376 3.76429
-18.1376 3.77406
-17.6376 3.72846
-17.1376 3.5837
-16.6376 3.25768
-16.1376 2.84981
-15.6376 2.3211
-15.1376 1.77774
-14.6376 1.25325
-14.1376 0.806723
-13.6376 0.506033
-13.1376 0.283888
-12.6376 0.153035
-12.1376 0.0733309
-11.6376 0.0413831
-11.1376 0.0187879
-10.6376 0.0101803
-10.1376 0.00438661
-9.63757 0.00223469
-9.13757 0.000579364
-8.63757 0.000165533
-8.13757 0
-7.63757 0
-7.13757 0
-6.63757 0
-6.13757 0
-5.63757 0
-5.13757 0
-4.63757 0
-4.13757 0
-3.63757 0
-3.13757 0
-2.63757 0
-2.13757 0
-1.63757 0
-1.13757 0
-0.637567 0
-0.137567 0
0.362433 0
0.862433 0
1.36243 0
1.86243 0
2.36243 0
2.86243 0
3.36243 0
3.86243 0
4.36243 0
4.86243 0
5.36243 0
5.86243 0
6.36243 0.000331065
6.86243 0.000248299
7.36243 0.000744897
7.86243 0.000579364
8.36243 0.000744897
8.86243 0.00124149
9.36243 0.00256576
9.86243 0.00471768
10.3624 0.00902153
10.8624 0.0178775
11.3624 0.0379897
11.8624 0.0734965
12.3624 0.146827
12.8624 0.279336
13.3624 0.490308
13.8624 0.821124
14.3624 1.25391
14.8624 1.76151
15.3624 2.33782
15.8624 2.81968
16.3624 3.27647
16.8624 3.55638
17.3624 3.734
17.8624 3.79574
18.3624 3.75759
18.8624 3.67309
19.3624 3.4838
19.8624 3.24783
20.3624 2.84931
20.8624 2.39592
21.3624 1.94294
21.8624 1.46066
22.3624 0.997996
22.8624 0.635645
23.3624 0.378739
23.8624 0.211882
24.3624 0.112893
24.8624 0.0525566
25.3624 0.0212709
25.8624 0.00877323
26.3624 0.00355895
26.8624 0.00173809
27.3624 0.00066213
27.8624 0.000248299
28.3624 0
28.8624 0
29.3624 0
29.8624 0
30.3624 0
30.8624 0
31.3624 0
31.8624 0
32.3624 0
32.8624 0
33.3624 0
33.8624 0
34.3624 0
34.8624 0
35.3624 0
35.8624 0
36.3624 0
36.8624 0
37.3624 0
37.8624 0
38.3624 0
38.8624 0
39.3624 0
39.8624 0
40.3624 0
40.8624 0
41.3624 0
41.8624 0
42.3624 0
42.8624 0
43.3624 0
43.8624 0
44.3624 0
44.8624 0
45.3624 0
45.8624 0
46.3624 0
46.8624 0
47.3624 0
47.8624 0
48.3624 0
48.8624 0
49.3624 0
49.8624 0
50.3624 0
50.8624 0
51.3624 0
51.8624 0
52.3624 0
52.8624 0
53.3624 0
53.8624 0
54.3624 0
54.8624 0
55.3624 0
55.8624 0
56.3624 0
56.8624 0
57.3624 0
57.8624 0
58.3624 0
58.8624 0
59.3624 0
59.8624 0
60.3624 0
60.8624 0
61.3624 0
61.8624 0
62.3624 0
62.8624 0
